Version Number,1,,,,,,,,,,,,,,,,
Block Format,1,,,,,,,,,,,,,,,,
Number of Teams,82,,,,,,,,,,,,,,,,
2822,Techno Beasts,"Colorado, USA",,,,,,,,,,,,,,,
87,W.A.F.F.L.E.S.,"Ontario, Canada",,,,,,,,,,,,,,,
1582,Energizer Eagles,"Nova Scotia, Canada",,,,,,,,,,,,,,,
8140,Save Earth,Republic of Korea (South Korea),,,,,,,,,,,,,,,
2093,Transformers,"Georgia, USA",,,,,,,,,,,,,,,
9000,FIRST Team - Fill in,"New Jersey, USA",,,,,,,,,,,,,,,
2254,Landroids,"New Jersey, USA",,,,,,,,,,,,,,,
1832,Techno Warriors,"Mississippi, USA",,,,,,,,,,,,,,,
1579,SWAT (Superior Workin),"Illinois, USA",,,,,,,,,,,,,,,
8080,Eleven,Japan,,,,,,,,,,,,,,,
7105,Team LEET,"New York, USA",,,,,,,,,,,,,,,
3267,Legooners,"Florida, USA",,,,,,,,,,,,,,,
8135,ROBOOG Challenge team,Netherlands,,,,,,,,,,,,,,,
8100,Danger Mind,Saudi Arabia,,,,,,,,,,,,,,,
482,Lego Guards,"California, USA",,,,,,,,,,,,,,,
8075,Formula Green,Israel,,,,,,,,,,,,,,,
334,Power Peeps,"Michigan, USA",,,,,,,,,,,,,,,
4198,Ridgewood Robo Raider,"Lousiana, USA",,,,,,,,,,,,,,,
606,Longhorn Robotics,"Alberta, Canada",,,,,,,,,,,,,,,
3492,Logos Legos,"Arkansas, USA",,,,,,,,,,,,,,,
32,Fire Breathing Rubber,"Oregon, USA",,,,,,,,,,,,,,,
5746,Super Battle Droids,"Utah, USA",,,,,,,,,,,,,,,
543,SCS Penguins,"Ontario, Canada",,,,,,,,,,,,,,,
8055,Techno Future Egypt,Egypt,,,,,,,,,,,,,,,
548,Damsels in Charge,"Alabama, USA",,,,,,,,,,,,,,,
171,Fossil Fuel Fighters,"Ohio, USA",,,,,,,,,,,,,,,
1976,The Inventioneers,"New Hampshire, USA",,,,,,,,,,,,,,,
105,Crusaders,"New Foundland, Canada",,,,,,,,,,,,,,,
3753,CYBORGS,"Kentucky, USA",,,,,,,,,,,,,,,
131,The Brainy Bunch,"Oregon, USA",,,,,,,,,,,,,,,
3162,Laser Blazers,"Wyoming, USA",,,,,,,,,,,,,,,
5947,Highlanders,"Alaska, USA",,,,,,,,,,,,,,,
1592,Electrolights,"Michigan, USA",,,,,,,,,,,,,,,
857,NRG Bots,"California, USA",,,,,,,,,,,,,,,
