Version Number,1,,,,,,,,,,,,,,,,,
Block Format,1,,,,,,,,,,,,,,,,,
Number of Teams,106,,,,,,,,,,,,,,,,,
22200,Nonstop,F?rresfjorden,Norway,,,,,,,,,,,,,,,
404,YoungLings,Springdale,"Arkansas, USA",,,,,,,,,,,,,,,
22950,FIRST FUJISAN,Kofu,Japan,,,,,,,,,,,,,,,
5591,RoboPoP,Lake Villa,"Illinois, USA",,,,,,,,,,,,,,,
207,Bear Valley BrickMasters,Anchorage,"Alaska, USA",,,,,,,,,,,,,,,
24550,ROBO IBDAA,albaqaa,Jordan,,,,,,,,,,,,,,,
22700,C14,Newbury,United Kingdom,,,,,,,,,,,,,,,
1380,1980's Something Space Guys,Rathdrum,"Idaho, USA",,,,,,,,,,,,,,,
22800,NO LIMITS,SAINT YORRE,France,,,,,,,,,,,,,,,
12758,LME Lego Lions,Austin,"Texas, USA",,,,,,,,,,,,,,,
23050,Skillbots,Toluca,Mexico,,,,,,,,,,,,,,,
1971,Data Dragons,Omaha,"Nebraska, USA",,,,,,,,,,,,,,,
2815,Robo Lobo Wired,Wolfville,"Nova Scotia, Canada",,,,,,,,,,,,,,,
23300,CONSTELLATION,Praga Nova,Ukraine ,,,,,,,,,,,,,,,
11892,Buckfield Bots,Buckfield,"Maine, USA",,,,,,,,,,,,,,,
2071,LEGO Squad,Warren,"Ohio, USA",,,,,,,,,,,,,,,
24400,All 4 Fun,kaohsiung,Taiwan,,,,,,,,,,,,,,,
5156,CS6,Tucson,"Arizona, USA",,,,,,,,,,,,,,,
23400,RoboZombie,Ciudad Juarez,Mexico,,,,,,,,,,,,,,,
22150,Referees,Auckland,New Zealand,,,,,,,,,,,,,,,
9764,TECHWEB,Columbia,"Maryland, USA",,,,,,,,,,,,,,,
23250,sCOOL Br1iacs,Almelo,Netherlands,,,,,,,,,,,,,,,
7922,Jr. Brainy Bots,Union,"Kentucky, USA",,,,,,,,,,,,,,,
2430,LOL,Wauwatosa,"Wisconsin, USA",,,,,,,,,,,,,,,
24150,AC/ DC/ EG,Sao Caetano do Sul,Brazil,,,,,,,,,,,,,,,
22050,Project Bucephalus,Figtree,Australia,,,,,,,,,,,,,,,
818,Lego Bionic Fusion,San Jose,"California, USA",,,,,,,,,,,,,,,
3140,SNAP,Westport,"Connecticut, USA",,,,,,,,,,,,,,,
24650,Egypt,Alexandria,Egypt,,,,,,,,,,,,,,,
7135,Disaster Blaster,Roswell,"Georgia, USA",,,,,,,,,,,,,,,
